node_id,latitude,longitude,latency_ms,packet_loss_pct,throughput_kbps,rssi_dbm
edge_node_01,50.45010,30.52340,34,0.2,1260,-55
edge_node_02,50.45040,30.52410,42,0.4,1180,-58
edge_node_03,50.45085,30.52500,51,0.7,1090,-62
edge_node_01,50.45110,30.52570,47,0.5,1215,-57
edge_node_02,50.45140,30.52620,62,1.1,980,-65
edge_node_03,50.45175,30.52690,76,1.6,820,-69
edge_node_01,50.45210,30.52740,88,2.4,710,-72
edge_node_02,50.45250,30.52800,95,2.9,670,-74
edge_node_03,50.45285,30.52860,119,4.1,540,-78
edge_node_01,50.45320,30.52910,138,6.3,390,-83
edge_node_02,50.45355,30.52970,151,7.8,340,-86
edge_node_03,50.45390,30.53020,126,5.4,420,-81
edge_node_01,50.45420,30.53080,84,1.9,760,-70
edge_node_02,50.45455,30.53140,55,0.8,1040,-63
edge_node_03,50.45490,30.53200,39,0.3,1320,-54
edge_node_01,50.45520,30.53250,36,0.2,1285,-56
edge_node_02,50.45555,30.53310,44,0.6,1165,-59
edge_node_03,50.45590,30.53370,58,1.0,990,-64
edge_node_01,50.45620,30.53430,73,1.7,830,-68
edge_node_02,50.45655,30.53490,92,2.6,690,-73
edge_node_03,50.45690,30.53550,113,3.8,575,-77
edge_node_01,50.45720,30.53610,142,6.8,365,-84
edge_node_02,50.45755,30.53670,129,5.7,440,-82
edge_node_03,50.45790,30.53730,101,3.1,620,-75
edge_node_01,50.45820,30.53790,66,1.3,910,-67
edge_node_02,50.45855,30.53850,48,0.5,1150,-60
edge_node_03,50.45890,30.53910,37,0.2,1305,-55
edge_node_01,50.45920,30.53970,41,0.4,1220,-58
edge_node_02,50.45955,30.54030,63,1.2,955,-66
edge_node_03,50.45990,30.54090,89,2.3,720,-71
