parking_id,is_occupied,total_spots,latitude,longitude
park_135,0,200,50.4434216,30.5188258
park_136,1,20,50.4335554,30.5149952
park_139,1,20,50.4300388,30.5142297
park_26,1,200,50.4507645,30.5329841
park_78,0,200,50.4468673,30.5164551
park_117,1,50,50.4598148,30.5054834
park_115,0,20,50.4307508,30.5151459
park_71,0,100,50.44097,30.5351412
park_139,1,20,50.4300388,30.5142297
park_76,1,20,50.4363687,30.5211411
park_3,1,50,50.4494435,30.5075948
park_83,1,75,50.4517991,30.5004327
park_1,1,100,50.4311487,30.5410976
park_84,0,200,50.4351089,30.5143529
park_31,0,150,50.4535719,30.5296747
park_173,0,75,50.4543745,30.5183914
park_139,0,20,50.4300388,30.5142297
park_154,0,20,50.4416354,30.5186821
park_42,1,75,50.4422369,30.5159431
park_92,0,100,50.4393668,30.547441
park_35,1,50,50.4550753,30.5196526
park_47,0,150,50.4548853,30.5497292
park_67,1,20,50.4306985,30.5234217
park_129,1,50,50.4500332,30.5059078
park_83,0,75,50.4517991,30.5004327
park_80,1,200,50.4454267,30.5106502
park_142,0,150,50.4442931,30.5195459
park_161,1,50,50.433393,30.5087155
park_177,1,50,50.4369786,30.5197774
park_60,1,50,50.4478029,30.5370074
park_19,1,50,50.4583645,30.5255409
park_42,1,75,50.4422369,30.5159431
park_140,0,50,50.4489191,30.5422088
park_87,1,100,50.4408679,30.5505632
park_93,1,20,50.4299614,30.5386479
park_184,1,50,50.4410692,30.5437153
park_24,1,150,50.4374722,30.5151352
park_22,1,200,50.440182,30.5143548
park_42,1,75,50.4422369,30.5159431
park_95,1,100,50.4463665,30.5120686
park_50,0,50,50.4382933,30.5213302
park_126,1,20,50.4557109,30.500676
park_2,1,100,50.4428819,30.5388879
park_30,0,200,50.4319866,30.511155
park_95,1,100,50.4463665,30.5120686
park_35,0,50,50.4550753,30.5196526
park_159,1,20,50.4504721,30.5255684
park_87,1,100,50.4408679,30.5505632
park_184,0,50,50.4410692,30.5437153
park_24,1,150,50.4374722,30.5151352
park_91,1,20,50.4477993,30.533133
park_90,1,20,50.4415744,30.5118129
park_139,0,20,50.4300388,30.5142297
park_158,0,20,50.4456068,30.5130772
park_166,1,50,50.4349813,30.5005607
park_35,0,50,50.4550753,30.5196526
park_43,1,150,50.4347493,30.5420546
park_37,0,100,50.4346235,30.5189163
park_50,1,50,50.4382933,30.5213302
park_171,1,200,50.4542158,30.5184298
park_129,0,50,50.4500332,30.5059078
park_47,1,150,50.4548853,30.5497292
park_117,1,50,50.4598148,30.5054834
park_15,1,100,50.4492353,30.5053107
park_173,0,75,50.4543745,30.5183914
park_72,0,200,50.4405293,30.5352324
park_56,1,50,50.4486319,30.5263278
park_49,1,20,50.4356224,30.5229942
park_147,0,50,50.4421848,30.5332224
park_101,1,100,50.4305603,30.5485957
park_62,1,150,50.4510265,30.5092269
park_79,0,50,50.4546547,30.518087
park_75,1,200,50.4359411,30.5210308
park_93,1,20,50.4299614,30.5386479
park_161,1,50,50.433393,30.5087155
park_133,1,150,50.4514953,30.5167905
park_70,1,75,50.4302299,30.5191429
park_170,1,75,50.4538936,30.51766
park_64,1,200,50.4573131,30.5055139
park_72,0,200,50.4405293,30.5352324
park_98,1,75,50.4315952,30.5181678
park_9,1,100,50.4356314,30.5121277
park_85,1,100,50.4423852,30.5317555
park_69,0,100,50.4358946,30.5266327
park_149,1,20,50.4445306,30.5341065
park_125,1,100,50.4561844,30.4999923
park_97,1,20,50.4518934,30.5359244
park_19,1,50,50.4583645,30.5255409
park_138,0,100,50.4485575,30.5417938
park_13,1,150,50.4322784,30.5149473
park_65,1,50,50.4496574,30.5222203
park_1,1,100,50.4311487,30.5410976
park_91,1,20,50.4477993,30.533133
park_21,0,50,50.4393824,30.547955
park_65,1,50,50.4496574,30.5222203
park_69,1,100,50.4358946,30.5266327
park_137,0,200,50.4322419,30.5093312
park_144,0,150,50.4475207,30.5337439
park_110,1,200,50.4537025,30.502585
park_145,0,75,50.4426371,30.5323981
park_61,1,150,50.4379264,30.5271687
park_105,1,150,50.4303693,30.5182913
park_166,1,50,50.4349813,30.5005607
park_148,1,200,50.4438974,30.5362686
park_71,1,100,50.44097,30.5351412
park_120,0,50,50.4538534,30.5281099
park_166,1,50,50.4349813,30.5005607
park_159,1,20,50.4504721,30.5255684
park_54,1,75,50.4323878,30.5405358
park_42,1,75,50.4422369,30.5159431
park_185,1,100,50.4434433,30.5429483
park_164,1,75,50.4361207,30.4997371
park_3,1,50,50.4494435,30.5075948
park_34,1,200,50.4454495,30.5039618
park_166,1,50,50.4349813,30.5005607
park_21,0,50,50.4393824,30.547955
park_18,0,150,50.451424,30.510153
park_50,1,50,50.4382933,30.5213302
park_168,1,20,50.4356105,30.5329403
park_136,0,20,50.4335554,30.5149952
park_92,1,100,50.4393668,30.547441
park_134,1,20,50.450293,30.5180117
park_144,1,150,50.4475207,30.5337439
park_47,0,150,50.4548853,30.5497292
park_88,0,20,50.4566868,30.5076053
park_189,0,75,50.448256,30.5026618
park_54,0,75,50.4323878,30.5405358
park_168,0,20,50.4356105,30.5329403
park_121,1,75,50.4596113,30.5058175
park_137,0,200,50.4322419,30.5093312
park_109,1,75,50.4309533,30.5176255
park_47,1,150,50.4548853,30.5497292
park_189,1,75,50.448256,30.5026618
park_113,1,75,50.4510877,30.5067009
park_165,1,75,50.4354319,30.4999478
park_29,0,20,50.4317694,30.5120182
park_57,1,100,50.4516499,30.5329678
park_32,1,150,50.4527684,30.5302296
park_82,1,50,50.4510188,30.5017653
park_192,0,100,50.4356859,30.508567
park_175,1,200,50.4456792,30.5057962
park_10,0,20,50.4535835,30.5182644
park_76,0,20,50.4363687,30.5211411
park_174,0,50,50.4422391,30.5120613
park_109,0,75,50.4309533,30.5176255
